show,season,episode_n,season_n,title,director,writer,air_date
Greys Anatomy,Season 1,4,4,No Man's Land,Adam Davidson,James D. Parriott,17-Apr-05
Greys Anatomy,Season 1,5,5,Shake Your Groove Thing,John David Coles,Ann Hamilton,24-Apr-05
Greys Anatomy,Season 1,6,6,If Tomorrow Never Comes,Scott Brazil,Krista Vernoff,1-May-05
Greys Anatomy,Season 1,7,7,The Self-Destruct Button,Darnell Martin,Kip Koenig,8-May-05
Greys Anatomy,Season 1,8,8,Save Me,Sarah Pia Anderson,Mimi Schmir,15-May-05
Greys Anatomy,Season 1,9,9,Who's Zoomin' Who?,Wendey Stanzler,"Gabrielle Stanton & Harry Werksman, Jr.",22-May-05
Greys Anatomy,Season 2,10,1,Raindrops Keep Falling on My Head,Peter Horton,Stacy McKee,25-Sep-05
Greys Anatomy,Season 2,11,2,Enough Is Enough[29],Peter Horton,James D. Parriott,2-Oct-05
Greys Anatomy,Season 2,12,3,Make Me Lose Control,Adam Davidson,Krista Vernoff,9-Oct-05
Greys Anatomy,Season 2,13,4,"Deny, Deny, Deny",Wendey Stanzler,Zoanne Clack,16-Oct-05
Greys Anatomy,Season 2,14,5,Bring the Pain,Mark Tinker,Shonda Rhimes,23-Oct-05
Greys Anatomy,Season 2,15,6,Into You Like a Train,Jeff Melman,Krista Vernoff,30-Oct-05
Greys Anatomy,Season 2,16,7,Something to Talk About,Adam Davidson,Stacy McKee,6-Nov-05
Greys Anatomy,Season 2,17,8,Let It Be,Lesli Linka Glatter,Mimi Schmir,13-Nov-05
Greys Anatomy,Season 2,18,9,Thanks for the Memories,Michael Dinner,Shonda Rhimes,20-Nov-05
Greys Anatomy,Season 2,19,10,Much too Much,Wendey Stanzler,"Gabrielle Stanton & Harry Werksman, Jr.",27-Nov-05
Greys Anatomy,Season 2,20,11,Owner of a Lonely Heart,Daniel Minahan,Mark Wilding,4-Dec-05
Greys Anatomy,Season 2,21,12,Grandma Got Run Over by a Reindeer,Peter Horton,Krista Vernoff,11-Dec-05
Greys Anatomy,Season 2,22,13,Begin the Begin,Jessica Yu,Kip Koenig,15-Jan-06
Greys Anatomy,Season 2,23,14,Tell Me Sweet Little Lies,Adam Davidson,Tony Phelan & Joan Rater,22-Jan-06
Greys Anatomy,Season 2,24,15,Break on Through,David Paymer,Zoanne Clack,29-Jan-06
Greys Anatomy,Season 2,25,16,It's the End of the World,Peter Horton,Shonda Rhimes,5-Feb-06
Greys Anatomy,Season 2,26,17,As We Know It,Peter Horton,Shonda Rhimes,12-Feb-06
Greys Anatomy,Season 2,27,18,Yesterday,Rob Corn,Story by : Mimi Schmir,19-Feb-06
Greys Anatomy,Season 2,28,19,What Have I Done to Deserve This?,Wendey Stanzler,Stacy McKee,26-Feb-06
Greys Anatomy,Season 2,29,20,Band-Aid Covers the Bullet Hole,Julie Anne Robinson,"Gabrielle Stanton & Harry Werksman, Jr.",12-Mar-06
Greys Anatomy,Season 2,30,21,Superstition,Tricia Brock,James D. Parriott,19-Mar-06
Greys Anatomy,Season 2,31,22,The Name of the Game,Seith Mann,Blythe Robe,2-Apr-06
Greys Anatomy,Season 2,32,23,Blues for Sister Someone,Jeff Melman,Elizabeth Klaviter,30-Apr-06
Greys Anatomy,Season 2,33,24,Damage Case,Tony Goldwyn,Mimi Schmir,7-May-06
Greys Anatomy,Season 2,34,25,17 Seconds,Daniel Minahan,Mark Wilding,14-May-06
Greys Anatomy,Season 2,35,26,Deterioration of the Fight or Flight Response,Rob Corn,Tony Phelan & Joan Rater,15-May-06
Greys Anatomy,Season 2,36,27,Losing My Religion,Mark Tinker,Shonda Rhimes,15-May-06
Greys Anatomy,Season 3,37,1,Time Has Come Today,Daniel Minahan,Shonda Rhimes,21-Sep-06
Greys Anatomy,Season 3,38,2,I Am a Tree,Jeff Melman,Krista Vernoff,28-Sep-06
Greys Anatomy,Season 3,39,3,Sometimes a Fantasy,Adam Arkin,Debora Cahn,5-Oct-06
Greys Anatomy,Season 3,40,4,What I Am,Dan Lerner,Allan Heinberg,12-Oct-06
Greys Anatomy,Season 3,41,5,"Oh, the Guilt",Jeff Melman,Zoanne Clack & Tony Phelan & Joan Rater,19-Oct-06
Greys Anatomy,Season 3,42,6,Let the Angels Commit,Jessica Yu,Stacy McKee,2-Nov-06
Greys Anatomy,Season 3,43,7,Where the Boys Are,Daniel Minahan,Mark Wilding,9-Nov-06
Greys Anatomy,Season 3,44,8,Staring at the Sun,Jeff Melman,"Gabrielle Stanton & Harry Werksman, Jr.",16-Nov-06
Greys Anatomy,Season 3,45,9,From a Whisper to a Scream,Julie Anne Robinson,Kip Koenig,23-Nov-06
Greys Anatomy,Season 3,46,10,Don't Stand So Close to Me,Seith Mann,Carolina Paiz,30-Nov-06
Greys Anatomy,Season 3,47,11,Six Days (Part 1),Greg Yaitanes,Krista Vernoff,11-Jan-07
Greys Anatomy,Season 3,48,12,Six Days (Part 2),Greg Yaitanes,Krista Vernoff,18-Jan-07
Greys Anatomy,Season 3,49,13,Great Expectations,Michael Grossman,Eric Buchman,25-Jan-07
Greys Anatomy,Season 3,50,14,Wishin' and Hopin',Julie Anne Robinson,Tony Phelan & Joan Rater,1-Feb-07
Greys Anatomy,Season 3,51,15,Walk on Water,Rob Corn,Shonda Rhimes,8-Feb-07
Greys Anatomy,Season 3,52,16,Drowning on Dry Land,Rob Corn,Shonda Rhimes,15-Feb-07
Greys Anatomy,Season 3,53,17,Some Kind of Miracle,Adam Arkin,Shonda Rhimes & Marti Noxon,22-Feb-07
Greys Anatomy,Season 3,54,18,Scars and Souvenirs,James Frawley,Debora Cahn,15-Mar-07
Greys Anatomy,Season 3,55,19,My Favorite Mistake,Tamra Davis,Chris Van Dusen,22-Mar-07
Greys Anatomy,Season 3,56,20,Time After Time,Christopher Misiano,Stacy McKee,19-Apr-07
Greys Anatomy,Season 3,57,21,Desire,Tom Verica,Mark Wilding,26-Apr-07
Greys Anatomy,Season 3,58,22,The Other Side of This Life,Michael Grossman,Shonda Rhimes,3-May-07
Greys Anatomy,Season 3,60,24,Testing 1-2-3,Christopher Misiano,Allan Heinberg,10-May-07
Greys Anatomy,Season 3,61,25,Didn't We Almost Have It All?,Rob Corn,Tony Phelan & Joan Rater,17-May-07
Greys Anatomy,Season 4,62,1,A Change Is Gonna Come,Rob Corn,Shonda Rhimes,27-Sep-07
Greys Anatomy,Season 4,63,2,Love/Addiction,James Frawley,Debora Cahn,4-Oct-07
Greys Anatomy,Season 4,64,3,Let the Truth Sting,Daniel Minahan,Mark Wilding,11-Oct-07
Greys Anatomy,Season 4,65,4,The Heart of the Matter,Randall Zisk,Allan Heinberg,18-Oct-07
Greys Anatomy,Season 4,66,5,Haunt You Every Day,Bethany Rooney,Krista Vernoff,25-Oct-07
Greys Anatomy,Season 4,67,6,Kung Fu Fighting,Tom Verica,Stacy McKee,1-Nov-07
Greys Anatomy,Season 4,68,7,"Physical Attraction, Chemical Reaction",Jeff Melman,Tony Phelan & Joan Rater,8-Nov-07
Greys Anatomy,Season 4,69,8,Forever Young,Rob Corn,Mark Wilding,15-Nov-07
Greys Anatomy,Season 4,70,9,Crash Into Me (Part 1),Michael Grossman,Shonda Rhimes & Krista Vernoff,22-Nov-07
Greys Anatomy,Season 4,71,10,Crash Into Me (Part 2),Jessica Yu,Shonda Rhimes & Krista Vernoff,6-Dec-07
Greys Anatomy,Season 4,72,11,Lay Your Hands on Me,John Terlesky,Allan Heinberg,10-Jan-08
Greys Anatomy,Season 4,73,12,Where the Wild Things Are,Rob Corn,Zoanne Clack,24-Apr-08
Greys Anatomy,Season 4,74,13,Piece of My Heart,Mark Tinker,Stacy McKee,1-May-08
Greys Anatomy,Season 4,75,14,The Becoming,Julie Anne Robinson,Tony Phelan & Joan Rater,8-May-08
Greys Anatomy,Season 4,76,15,Losing My Mind,James Frawley,Debora Cahn,15-May-08
Greys Anatomy,Season 4,77,16,Freedom,Rob Corn,Shonda Rhimes,22-May-08
Greys Anatomy,Season 5,79,1,Dream a Little Dream of Me,Rob Corn,Shonda Rhimes,25-Sep-08
Greys Anatomy,Season 5,81,3,Here Comes the Flood,Michael Pressman,Krista Vernoff,9-Oct-08
Greys Anatomy,Season 5,82,4,Brave New World,Eric Stoltz,Debora Cahn,16-Oct-08
Greys Anatomy,Season 5,83,5,There's No 'I' in Team,Randy Zisk,Jenna Bans,23-Oct-08
Greys Anatomy,Season 5,84,6,Life During Wartime,James Frawley,Mark Wilding,30-Oct-08
Greys Anatomy,Season 5,85,7,Rise Up,Joanna Kerns,William Harper,6-Nov-08
Greys Anatomy,Season 5,86,8,These Ties That Bind,Eric Stoltz,Stacy McKee,13-Nov-08
Greys Anatomy,Season 5,87,9,In the Midnight Hour,Tom Verica,Tony Phelan & Joan Rater,20-Nov-08
Greys Anatomy,Season 5,88,10,All By Myself,Arlene Sanford,Peter Nowalk,4-Dec-08
Greys Anatomy,Season 5,89,11,Wish You Were Here,Rob Corn,Debora Cahn,8-Jan-09
Greys Anatomy,Season 5,90,12,Sympathy for the Devil,Jeannot Szwarc,Jenna Bans,15-Jan-09
Greys Anatomy,Season 5,91,13,Stairway to Heaven,Allison Liddi-Brown,Mark Wilding,22-Jan-09
Greys Anatomy,Season 5,92,14,Beat Your Heart Out,Julie Anne Robinson,William Harper,5-Feb-09
Greys Anatomy,Season 5,93,15,Before and After,Dan Attias,Tony Phelan & Joan Rater,12-Feb-09
Greys Anatomy,Season 5,94,16,An Honest Mistake,Randy Zisk,Peter Nowalk,19-Feb-09
Greys Anatomy,Season 5,95,17,I Will Follow You Into the Dark,James Frawley,Jenna Bans,12-Mar-09
Greys Anatomy,Season 5,96,18,Stand By Me,Jessica Yu,Zoanne Clack,19-Mar-09
Greys Anatomy,Season 5,97,19,Elevator Love Letter,Edward Ornelas,Stacy McKee,26-Mar-09
Greys Anatomy,Season 5,98,20,Sweet Surrender,Tony Phelan,Sonay Washington,23-Apr-09
Greys Anatomy,Season 5,99,21,No Good at Saying Sorry (One More Chance),Tom Verica,Krista Vernoff,30-Apr-09
Greys Anatomy,Season 5,100,22,What a Difference a Day Makes,Rob Corn,Shonda Rhimes,7-May-09
Greys Anatomy,Season 5,101,23,Here's to Future Days,Bill D'Elia,Allan Heinberg,14-May-09
Greys Anatomy,Season 5,102,24,Now or Never,Rob Corn,Debora Cahn,14-May-09
